代碼,寺廟名稱,寺廟地址,X座標,Y座標,lat,lnt
22,吉福宮,臺北市信義區松山路臨679-1號,308709.737,2769814.72,25.03531006,121.58179
23,松山奉天宮,臺北市信義區福德街221巷12號,309019.929,2770059.25,25.03750558,121.5848742
24,松山進安宮,臺北市信義區永吉路517巷8弄12-3號,308561.81,2771061.876,25.04657496,121.5803771
25,松山順安宮,臺北市信義區松隆路臨45號,307366.672,2770826.941,25.04449979,121.5685234
26,松山慈惠堂,臺北市信義區福德街251巷33號,309286.191,2769953.941,25.03654446,121.5875082
27,松山靈隱寺,臺北市信義區松山路臨677之15號,308679.804,2768676.288,25.0250336,121.5814449
28,狀元廟,臺北市信義區吳興街336巷52號,307056.357,2768662.478,25.02497097,121.5653586
29,信義天后宮,臺北市信義區吳興街600巷臨68號,307056.357,2768662.478,25.02497097,121.5653586
30,真光禪寺,臺北市信義區福德街221巷200號,309273.104,2769444.132,25.03194249,121.5873566
31,財團法人台北市靈源寺,臺北市信義區虎林街26巷5號,308062.541,2771328.271,25.04899918,121.5754406
32,財團法人承天武聖廟,臺北市信義區臥龍街477-12號,306919.525,2767179.629,25.01158908,121.5639417
33,普陀山慈航寺,臺北市信義區松山路臨677-7號,308855.906,2768746.921,25.02566443,121.5831928
34,港口奉聖宮,臺北市信義區和平東路3段631巷52號,307455.277,2767211.196,25.01185384,121.5692509
35,興雅福德宮,臺北市信義區永吉路30巷30號,307384.858,2770843.677,25.04465019,121.5687043
36,一心寺,臺北市大安區建國南路2段11巷6號,304328.246,2769516.793,25.03278403,121.538361
37,九龍蓮社,臺北市大安區四維路52巷1之1及3號,305277.857,2769780.745,25.03513259,121.5477813
38,大安車層景福宮,臺北市大安區延吉街77號,305903,2770781,25.04413984,121.5540166
39,台北市大安區福安宮,臺北市大安區臥龍街61號,305253.259,2768337.597,25.02210484,121.5474798
40,法雲寺,臺北市大安區新生南路1段165巷5之1號,303838.452,2769681.345,25.0342871,121.533514
41,夏教養聖堂,臺北市大安區建國南路1段44巷7號,304064.738,2770767.276,25.04408275,121.5357989
42,泰安宮,臺北市大安區潮州街98巷1號,303013.469,2769058.111,25.02868969,121.5253151
43,財團法人台北市天德堂總堂,臺北市大安區和平東路3段596號,306737.213,2767443.952,25.01398221,121.5621463
44,財團法人台北市白雲禪寺,臺北市大安區安和路2段20巷2號,305711.441,2769437.828,25.03202086,121.552064
45,財團法人台北市圓通學苑,臺北市大安區潮州街58之1號,302838.636,2769117.5,25.02923196,121.523585
46,財團法人台北市福佑宮,臺北市大安區安東街32號,304756.911,2770781.325,25.04418469,121.5426589
47,財團法人通化堂,臺北市大安區復興南路2段179號4樓,304867.631,2768872.524,25.02694815,121.5436802
48,福景宮,臺北市大安區光復南路698號,306234.213,2769181.406,25.02968657,121.5572337
49,福興宮,臺北市大安區延吉街 263號,306205.555,2769660.484,25.03401271,121.5569692
50,觀音禪院,臺北市大安區新生南路1段137巷 6號,303813.943,2769976.233,25.03695021,121.5332827
51,九府仙師廟,臺北市中山區民權西路70巷31號,302477.672,2772697.72,25.06156658,121.5201447
52,下塔悠福德爺宮,臺北市中山區敬業三路196號,306146.645,2774519.449,25.07788109,121.5565836
53,大忠宮,臺北市中山區中山北路4段71巷2弄臨5號,303093.477,2774796.018,25.08048833,121.5263291
54,中嶽殿,臺北市中山區民族東路115號,304309.647,2773456.264,25.06834993,121.538332
55,台北市文昌宮,臺北市中山區民生西路45巷9號,302564.493,2772439.801,25.05923509,121.5209953
56,台北市圓玄學社,臺北市中山區長春路163巷18號,303836.547,2772034.102,25.05552771,121.5335871
57,台北市圓明宮,臺北市中山區中山北路2段128巷3之2號,302655.447,2772727.182,25.06182638,121.5219078
58,台北保霞宮,臺北市中山區松江路226巷21號,303602.69,2772368.833,25.05855794,121.5312824
